t,meanDeltaSlopeD0_0005,stdDeltaSlopeD0_0005,meanDeltaSlopeD0_0005D0_0025,stdDeltaSlopeD0_0005D0_0025,meanDeltaSlopeD0_0005D0_005,stdDeltaSlopeD0_0005D0_005,meanDeltaSlopeD0_0005D0_01,stdDeltaSlopeD0_0005D0_01
1350,-4.47939849624061,2.2764196546728,-12.9906766917293,3.37519553877535,-19.3984962406015,2.89267793415436,-19.8099248120301,5.24789055231002
1370,-4.50285714285714,2.22179128867314,-12.9587969924812,3.26255796817473,-19.4375939849624,2.80001310110744,-19.8502255639098,4.80940818295841
1390,-4.38616541353384,2.22200225291792,-13.0231578947368,3.31767170381002,-19.1410526315789,3.00870125459922,-19.1993984962406,5.20828351252859
1410,-4.45413533834587,2.36796012011026,-13.0664661654135,3.16351592632695,-19.0724812030075,2.99387891104109,-19.0039097744361,5.34762981056096
1430,-4.55398496240602,2.40415040528591,-13.1464661654135,3.05811567915416,-19.0099248120301,2.95521190509859,-18.7031578947368,5.15374046663997
1450,-4.42586466165414,2.3562161348026,-12.9858646616541,3.21237480119734,-18.781954887218,2.79821498422573,-18.2375939849624,4.84184248730456
1470,-4.55157894736842,2.41820479362365,-13.1482706766917,2.98373681566288,-18.8342857142857,2.55257199630744,-18.2748872180451,4.39103676960643
1490,-4.58345864661654,2.53753327691237,-13.0436090225564,3.13489367756041,-18.9293233082707,2.73450633385974,-18.3957894736842,4.63582922949293
1510,-4.65323308270677,2.57753730714662,-13.1584962406015,3.22651460830566,-19.0899248120301,3.33744806430186,-18.6478195488722,5.42097607812123
1530,-4.70736842105264,2.60955319515478,-13.3010526315789,3.31379267256523,-19.4099248120301,3.6346087739698,-19.1266165413534,5.63853144692029
1550,-4.93353383458647,2.6126625817919,-13.5193984962406,3.33832984860722,-19.516992481203,3.26519975078152,-18.9900751879699,5.39344826739247
1570,-4.88962406015038,2.6037177187403,-13.5927819548872,3.331624775534,-19.615037593985,3.35352836187748,-19.0869172932331,5.04118032418356
1590,-5.0393984962406,2.61285952656465,-13.92,3.26414168093011,-20.0421052631579,3.27660028788205,-19.5735338345865,4.69545977692204
1610,-5.01954887218046,2.52910893052523,-13.7485714285714,3.25945119773465,-19.9206015037594,3.28097226675375,-19.4508270676692,4.58389458016332
1630,-5.06105263157895,2.73413171949913,-13.9091729323308,3.28045932884516,-19.9615037593985,3.62035003189297,-19.433984962406,4.78268701803368
1650,-5.06406015037594,2.58864348525429,-13.9326315789474,3.36436448658069,-19.9699248120301,3.61944693330895,-19.4875187969925,4.73336095180671
1670,-5.11037593984962,2.60445679191167,-14.0114285714286,3.38295373193491,-20.1738345864662,3.62249609722144,-19.7744360902256,4.36456942575058
1690,-5.17894736842106,2.74952508474776,-14.2598496240601,3.41054818108238,-20.258045112782,3.79230134122132,-19.8959398496241,4.44696868160893
1710,-5.2390977443609,2.83372897644345,-14.384962406015,3.44593501465135,-20.4655639097744,3.9345408761003,-20.3218045112782,4.10998152868777
1730,-5.12541353383459,2.88253651362951,-14.4421052631579,3.44845368828494,-20.3663157894737,3.98307681938406,-20.2833082706767,4.54993094136146
1750,-5.25052631578948,2.84762387397412,-14.3512781954887,3.1801261617281,-20.1203007518797,4.10650943042111,-19.9542857142857,4.75232484194003
1770,-5.25172932330827,2.82574412217979,-14.3981954887218,2.8896871230329,-20.0842105263158,4.13306087510034,-19.8303759398496,4.4539274539037
1790,-5.30105263157895,2.82248662771427,-14.5383458646617,2.9342973077591,-20.3428571428571,3.89813729879881,-20.2586466165414,4.22062519655172
1810,-5.3996992481203,2.83037194693676,-14.5575939849624,2.82102313337256,-20.4018045112782,3.94268959610675,-20.298947368421,4.02804277982827
1830,-5.45142857142857,2.7627836617665,-14.7344360902256,2.78557971978664,-20.5401503759398,3.90420970225244,-20.2454135338346,3.8833835096787
1850,-5.47669172932331,2.75233416774903,-14.6965413533835,2.50741715903378,-20.3025563909774,3.76996855229369,-19.7130827067669,3.6514774413209
1870,-5.43458646616542,2.82275609291713,-14.4457142857143,2.83452501213108,-20.1672180451128,4.03860472204871,-19.7612030075188,3.67460222550605
1890,-5.29203007518797,2.85188037542658,-14.3681203007519,2.79601862296174,-20.0523308270677,4.12921030267992,-19.2126315789474,4.01668664723022
1910,-5.45924812030075,2.80459071606114,-14.7609022556391,2.7414262928689,-20.2165413533835,3.89656634116148,-19.3551879699248,3.77325438570501
1930,-5.53503759398496,2.85859918035684,-14.9593984962406,2.64565639149311,-20.4691729323308,3.90910912660802,-19.8303759398496,3.79012053727845
1950,-5.54285714285714,2.77455956690818,-15.2282706766917,2.79444524285235,-20.806015037594,3.64482712816274,-20.0114285714286,3.48548168612033
1970,-5.58736842105263,2.93108207242878,-15.0796992481203,2.81922016463219,-20.4673684210526,3.52248011800565,-19.581954887218,3.13168740992852
1990,-5.5596992481203,2.82074844323524,-15.0616541353383,2.77962719572068,-20.4914285714286,3.44558944632434,-19.4929323308271,3.35905853637442
